"especie","registros_gbif","conservacion"
"Elaeis oleifera",144,"En Peligro"
"Sabal mauritiiformis",50,NULL
"Astrocaryum malybo",20,NULL
"Bactris guineensis",11,NULL
"Bactris maraja",7,NULL
"Bactris major",7,NULL
NULL,6,NULL
"Wettinia hirsuta",6,"Vulnerable"
"Bactris pilosa",6,NULL
"Geonoma cuneata",5,NULL
"Geonoma deversa",4,NULL
"Synechanthus warscewiczianus",4,NULL
"Attalea butyracea",3,NULL
"Euterpe oleracea",3,NULL
"Bactris simplicifrons",3,NULL
"Elaeis guineensis",2,NULL
"Attalea allenii",2,NULL
"Bactris obovata",2,NULL
"Cryosophila kalbreyeri",2,"Vulnerable"
"Acrocomia aculeata",2,NULL
"Geonoma interrupta",2,NULL
"Geonoma pinnatifrons",2,NULL
"Oenocarpus bataua",2,NULL
"Oenocarpus minor",2,NULL
"Socratea exorrhiza",2,NULL
"Bactris gasipaes",1,NULL
"Asterogyne martiana",1,NULL
"Bactris brongniartii",1,NULL
"Oenocarpus mapora",1,NULL
"Bactris barronis",1,NULL
"Phytelephas seemannii",1,NULL
"Desmoncus orthacanthos",1,NULL
"Geonoma calyptrogynoidea",1,NULL
"Geonoma concinna",1,NULL
"Desmoncus myriacanthos",1,NULL
"Cocos nucifera",1,NULL
