"especie","registros_gbif","conservacion"
"Oenocarpus bataua",3953,NULL
"Euterpe oleracea",3456,NULL
"Wettinia quinaria",1406,NULL
"Welfia regia",1122,NULL
"Ammandra decasperma",529,NULL
"Euterpe precatoria",500,NULL
"Socratea exorrhiza",488,NULL
"Wettinia radiata",477,NULL
"Astrocaryum standleyanum",379,NULL
"Geonoma cuneata",350,NULL
"Geonoma congesta",309,NULL
"Hyospathe elegans",247,NULL
NULL,219,NULL
"Attalea allenii",216,NULL
"Prestoea decurrens",179,NULL
"Attalea cuatrecasana",163,NULL
"Geonoma deversa",153,NULL
"Iriartea deltoidea",147,NULL
"Prestoea acuminata",124,NULL
"Asterogyne martiana",123,NULL
"Chamaedorea tepejilote",120,NULL
"Chelyocarpus dianeurus",115,NULL
"Manicaria saccifera",107,NULL
"Bactris obovata",104,NULL
"Geonoma interrupta",100,NULL
"Roystonea regia",86,NULL
"Syagrus sancona",84,"Vulnerable"
"Pholidostachys dactyloides",81,NULL
"Bactris setulosa",77,NULL
"Chamaedorea pinnatifrons",76,NULL
"Geonoma paradoxa",76,NULL
"Pholidostachys pulchra",73,NULL
"Attalea amygdalina",67,"En Peligro"
"Elaeis guineensis",58,NULL
"Bactris coloradonis",51,NULL
"Chamaedorea linearis",49,NULL
"Oenocarpus minor",49,NULL
"Elaeis oleifera",46,"En Peligro"
"Synechanthus warscewiczianus",46,NULL
"Oenocarpus mapora",43,NULL
"Bactris maraja",41,NULL
"Bactris gasipaes",38,NULL
"Aiphanes simplex",34,NULL
"Attalea butyracea",34,NULL
"Chamaedorea deneversiana",30,NULL
"Geonoma undata",30,NULL
"Wettinia aequalis",30,NULL
"Ceroxylon quindiuense",28,"En Peligro"
"Mauritiella macroclada",27,NULL
"Bactris cuspidata",25,NULL
"Bactris coloniata",25,NULL
"Geonoma chococola",22,NULL
"Desmoncus cirrhiferus",22,NULL
"Aiphanes tricuspidata",21,NULL
"Aiphanes horrida",19,NULL
"Cocos nucifera",16,NULL
"Geonoma triandra",15,NULL
"Adonidia merrillii",15,NULL
"Dypsis madagascariensis",14,NULL
"Wettinia fascicularis",14,NULL
"Dypsis lutescens",14,NULL
"Bactris barronis",14,NULL
"Geonoma orbignyana",14,NULL
"Sabal mauritiiformis",13,NULL
"Socratea hecatonandra",11,NULL
"Wettinia kalbreyeri",11,NULL
"Geonoma calyptrogynoidea",10,NULL
"Geonoma pinnatifrons",8,NULL
"Aiphanes duquei",7,"En Peligro"
"Prestoea ensiformis",7,NULL
"Ceroxylon vogelianum",6,NULL
"Desmoncus cirrhifer",6,NULL
"Bactris kunorum",6,NULL
"Prestoea pubens",6,NULL
"Bactris manriquei",5,NULL
"Washingtonia robusta",5,NULL
"Ceroxylon alpinum",5,"En Peligro"
"Aiphanes hirsuta",5,NULL
"Phoenix dactylifera",5,NULL
"Chamaedorea christinae",4,NULL
"Archontophoenix alexandrae",4,NULL
"Bactris major",3,NULL
"Ceroxylon parvifrons",3,NULL
"Geonoma concinna",3,NULL
"Phytelephas macrocarpa",3,NULL
"Phoenix roebelenii",3,NULL
"Wettinia castanea",3,NULL
"Aiphanes linearis",3,NULL
"Copernicia tectorum",3,NULL
"Caryota mitis",3,NULL
"Phytelephas seemannii",2,NULL
"Chamaedorea pygmaea",2,NULL
"Wettinia disticha",2,NULL
"Acrocomia aculeata",2,NULL
"Aiphanes lindeniana",2,NULL
"Geonoma macrostachys",2,NULL
"Geonoma dindoensis",2,NULL
"Bactris brongniartii",1,NULL
"Licuala grandis",1,NULL
"Attalea racemosa",1,NULL
"Geonoma frontinensis",1,NULL
"Bactris guineensis",1,NULL
"Pholidostachys kalbreyeri",1,NULL
"Pholidostachys synanthera",1,NULL
"Aiphanes multiplex",1,NULL
"Desmoncus orthacanthos",1,NULL
"Chamaedorea adscendens",1,NULL
"Aiphanes macroloba",1,NULL
"Trachycarpus fortunei",1,NULL
"Chamaedorea costaricana",1,NULL
"Wettinia lanata",1,NULL
"Wettinia oxycarpa",1,NULL
