"especie","registros_gbif","conservacion"
"Ceroxylon vogelianum",916,NULL
"Geonoma undata",411,NULL
"Geonoma frontinensis",356,NULL
"Geonoma orbignyana",227,NULL
"Prestoea acuminata",155,NULL
"Iriartea deltoidea",43,NULL
NULL,41,NULL
"Hyospathe elegans",36,NULL
"Geonoma stricta",35,NULL
"Wettinia maynensis",21,NULL
"Geonoma macrostachys",20,NULL
"Astrocaryum chambira",15,NULL
"Geonoma deversa",14,NULL
"Euterpe precatoria",14,NULL
"Mauritia flexuosa",14,NULL
"Geonoma multisecta",13,NULL
"Astrocaryum macrocalyx",12,NULL
"Geonoma maxima",12,NULL
"Wettinia praemorsa",12,NULL
"Phytelephas tenuicaulis",11,NULL
"Prestoea carderi",11,NULL
"Chamaedorea pinnatifrons",11,NULL
"Ceroxylon ventricosum",10,"En Peligro"
"Attalea butyracea",9,NULL
"Bactris gasipaes",9,NULL
"Wettinia drudei",9,NULL
"Aiphanes ulei",9,NULL
"Oenocarpus bataua",8,NULL
"Attalea insignis",8,NULL
"Chamaedorea pauciflora",8,NULL
"Wettinia kalbreyeri",8,NULL
"Socratea exorrhiza",7,NULL
"Geonoma brongniartii",7,NULL
"Bactris concinna",7,NULL
"Geonoma longepedunculata",7,NULL
"Geonoma fosteri",7,NULL
"Geonoma triglochin",7,NULL
"Mauritiella armata",6,NULL
"Aiphanes lindeniana",6,NULL
"Aiphanes pilaris",6,"Vulnerable"
"Bactris maraja",6,NULL
"Ceroxylon parvifrons",6,NULL
"Desmoncus horridus",6,NULL
"Geonoma poeppigiana",6,NULL
"Aiphanes horrida",6,NULL
"Bactris simplicifrons",5,NULL
"Ceroxylon quindiuense",5,"En Peligro"
"Geonoma interrupta",5,NULL
"Astrocaryum urostachys",5,NULL
"Socratea rostrata",5,NULL
"Wettinia anomala",5,NULL
"Bactris acanthocarpa",4,NULL
"Pholidostachys synanthera",4,NULL
"Astrocaryum jauari",3,NULL
"Desmoncus giganteus",3,NULL
"Geonoma camana",3,NULL
"Bactris fissifrons",3,NULL
"Ammandra decasperma",3,NULL
"Oenocarpus minor",2,NULL
"Desmoncus polyacanthos",2,NULL
"Chamaedorea linearis",2,NULL
"Iriartella setigera",2,NULL
"Bactris riparia",2,NULL
"Bactris hirta",1,NULL
"Phytelephas macrocarpa",1,NULL
"Oenocarpus bacaba",1,NULL
"Prestoea schultzeana",1,NULL
"Aiphanes simplex",1,NULL
"Bactris setulosa",1,NULL
"Desmoncus myriacanthos",1,NULL
"Elaeis guineensis",1,NULL
"Astrocaryum aculeatum",1,NULL
"Asterogyne martiana",1,NULL
"Wettinia oxycarpa",1,NULL
"Geonoma lehmannii",1,NULL
"Geonoma longipedunculata",1,NULL
