"especie","registros_gbif"
NULL,223
"Geonoma stricta",168
"Geonoma macrostachys",155
"Lepidocaryum tenue",117
"Geonoma deversa",112
"Geonoma maxima",112
"Hyospathe elegans",109
"Iriartella setigera",103
"Bactris maraja",77
"Euterpe precatoria",77
"Bactris simplicifrons",74
"Socratea exorrhiza",73
"Bactris hirta",71
"Oenocarpus bataua",66
"Euterpe catinga",56
"Geonoma camana",54
"Bactris fissifrons",48
"Attalea insignis",40
"Desmoncus mitis",38
"Bactris riparia",35
"Iriartea deltoidea",34
"Manicaria martiana",34
"Chamaedorea pauciflora",33
"Geonoma brongniartii",30
"Astrocaryum ciliatum",29
"Mauritia flexuosa",28
"Bactris corossilla",27
"Desmoncus polyacanthos",27
"Oenocarpus minor",25
"Bactris gasipaes",25
"Bactris killipii",25
"Astrocaryum aculeatum",25
"Astrocaryum jauari",25
"Oenocarpus mapora",24
"Astrocaryum chambira",23
"Attalea butyracea",23
"Chamaedorea pinnatifrons",22
"Bactris concinna",21
"Wettinia drudei",21
"Geonoma leptospadix",21
"Mauritiella armata",21
"Bactris acanthocarpa",19
"Oenocarpus balickii",18
"Geonoma laxiflora",17
"Geonoma oligoclona",16
"Pholidostachys synanthera",15
"Manicaria saccifera",14
"Wettinia augusta",14
"Oenocarpus bacaba",13
"Bactris balanophora",13
"Syagrus orinocensis",12
"Prestoea schultzeana",12
"Iriartella stenocarpa",12
"Bactris macroacantha",12
"Aiphanes deltoidea",11
"Astrocaryum ferrugineum",11
"Attalea plowmanii",11
"Syagrus smithii",11
"Geonoma poeppigiana",10
"Bactris bidentula",10
"Itaya amicorum",9
"Oenocarpus simplex",9
"Bactris elegans",8
"Phytelephas macrocarpa",8
"Attalea microcarpa",8
"Attalea racemosa",8
"Mauritia carana",7
"Dictyocaryum ptarianum",6
"Chelyocarpus ulei",6
"Cocos nucifera",6
"Astrocaryum murumuru",5
"Aiphanes ulei",5
"Oenocarpus makeru",5
"Astrocaryum gynacanthum",5
"Desmoncus interjectus",5
"Desmoncus horridus",5
"Oenocarpus circumtextus",5
"Bactris bifida",4
"Bactris martiana",4
"Attalea maripa",4
"Bactris halmoorei",3
"Desmoncus giganteus",3
"Geonoma longepedunculata",3
"Desmoncus intermedius",3
"Chelyocarpus repens",3
"Mauritiella aculeata",3
"Desmoncus vacivus",3
"Astrocaryum macrocalyx",3
"Bactris brongniartii",3
"Geonoma interrupta",2
"Prestoea carderi",1
"Elaeis guineensis",1
"Attalea cephalotus",1
"Desmoncus pumilus",1
"Bactris sphaerocarpa",1
"Geonoma aspidiifolia",1
"Calyptrogyne ghiesbreghtiana",1
"Bactris campestris",1
"Geonoma undata",1
"Geonoma orbignyana",1
"Attalea septuagenata",1
"Attalea phalerata",1
"Desmoncus orthacanthos",1
"Phoenix dactylifera",1
"Desmoncus prunifer",1
