"especie","registros_gbif"
"Euterpe precatoria",484
NULL,418
"Elaeis oleifera",243
"Geonoma orbignyana",217
"Welfia regia",202
"Wettinia kalbreyeri",200
"Oenocarpus bataua",172
"Chamaedorea linearis",134
"Wettinia fascicularis",131
"Chamaedorea pinnatifrons",127
"Attalea amygdalina",111
"Geonoma undata",107
"Geonoma interrupta",104
"Acrocomia aculeata",102
"Asterogyne martiana",88
"Aiphanes linearis",81
"Aiphanes hirsuta",78
"Aiphanes horrida",75
"Iriartea deltoidea",73
"Prestoea acuminata",71
"Bactris gasipaes",69
"Roystonea regia",65
"Ceroxylon vogelianum",64
"Dictyocaryum lamarckianum",62
"Oenocarpus minor",60
"Geonoma cuneata",58
"Bactris maraja",55
"Euterpe oleracea",50
"Bactris guineensis",46
"Pholidostachys dactyloides",46
"Wettinia hirsuta",46
"Bactris pilosa",44
"Ceroxylon quindiuense",42
"Cryosophila kalbreyeri",40
"Wettinia radiata",39
"Ceroxylon parvifrons",39
"Aiphanes lindeniana",38
"Pholidostachys synanthera",37
"Hyospathe elegans",36
"Prestoea simplicifolia",35
"Attalea allenii",34
"Aiphanes parvifolia",31
"Prestoea decurrens",31
"Socratea exorrhiza",29
"Hyospathe frontinensis",28
"Chamaedorea tepejilote",26
"Geonoma deversa",26
"Ceroxylon sasaimae",25
"Attalea butyracea",24
"Geonoma chlamydostachys",24
"Bactris coloradonis",24
"Geonoma congesta",24
"Bactris setulosa",23
"Prestoea carderi",22
"Astrocaryum malybo",21
"Desmoncus orthacanthos",21
"Socratea rostrata",20
"Geonoma lehmannii",20
"Bactris barronis",18
"Reinhardtia koschnyana",17
"Aiphanes macroloba",16
"Chamaedorea ricardoi",16
"Desmoncus myriacanthos",16
"Cocos nucifera",15
"Phytelephas macrocarpa",15
"Wettinia quinaria",14
"Sabal mauritiiformis",14
"Bactris obovata",14
"Synechanthus warscewiczianus",14
"Bactris glandulosa",14
"Geonoma triandra",13
"Dypsis lutescens",13
"Astrocaryum standleyanum",13
"Aiphanes simplex",12
"Chamaedorea allenii",12
"Syagrus romanzoffiana",12
"Hyospathe wendlandiana",11
"Chamaedorea warscewiczii",11
"Archontophoenix cunninghamiana",11
"Ammandra decasperma",11
"Geonoma divisa",10
"Adonidia merrillii",10
"Geonoma pinnatifrons",10
"Manicaria saccifera",9
"Geonoma stricta",9
"Desmoncus cirrhifer",9
"Desmoncus cirrhiferus",9
"Wettinia disticha",9
"Bactris brongniartii",8
"Pholidostachys sanluisensis",7
"Chamaedorea geonomiformis",7
"Geonoma galeanoae",7
"Phytelephas seemannii",7
"Oenocarpus mapora",6
"Mauritiella macroclada",6
"Geonoma concinna",6
"Geonoma frontinensis",6
"Elaeis guineensis",6
"Syagrus sancona",6
"Bactris major",6
"Wettinia aequalis",5
"Archontophoenix alexandrae",4
"Rhapis excelsa",4
"Aiphanes leiostachys",4
"Chamaedorea pygmaea",4
"Desmoncus giganteus",4
"Wettinia castanea",3
"Licuala grandis",3
"Reinhardtia simplex",3
"Howea forsteriana",3
"Socratea hecatonandra",3
"Geonoma laxiflora",3
"Chamaedorea ponderosa",3
"Dypsis madagascariensis",2
"Geonoma bernalii",2
"Livistona chinensis",2
"Chamaedorea liebmannii",2
"Chamaedorea elatior",2
"Raphia taedigera",2
"Calyptrogyne baudensis",2
"Bismarckia nobilis",2
"Saribus rotundifolius",2
"Bactris coloniata",2
"Attalea cohune",2
"Aiphanes concinna",2
"Aiphanes argos",2
"Chamaedorea costaricana",1
"Ceroxylon alpinum",1
"Caryota urens",1
"Caryota mitis",1
"Pritchardia pacifica",1
"Ptychosperma elegans",1
"Aiphanes gloria",1
"Geonoma calyptrogynoidea",1
"Licuala spinosa",1
"Coccothrinax miraguama",1
"Brassiophoenix schumannii",1
"Sabal domingensis",1
"Aiphanes cogollo",1
"Sabinaria magnifica",1
"Wettinia oxycarpa",1
"Cyrtostachys renda",1
"Hyophorbe verschaffeltii",1
"Aiphanes bio",1
"Attalea nucifera",1
"Desmoncus mitis",1
"Synechanthus fibrosus",1
"Geonoma chococola",1
"Trachycarpus fortunei",1
"Veitchia arecina",1
"Washingtonia robusta",1
"Dypsis decaryi",1
"Wodyetia bifurcata",1
"Chamaedorea pumila",1
"Geonoma poeppigiana",1
"Orania palindan",1
"Phoenix canariensis",1
"Phoenix reclinata",1
"Geonoma leptospadix",1
"Acoelorrhaphe wrightii",1
"Chamaedorea deneversiana",1
"Chamaedorea deckeriana",1
"Aiphanes acaulis",1
