"municipio","departamento","num_especies"
"LETICIA","AMAZONAS",71
"PUERTO SANTANDER","AMAZONAS",65
"BUENAVENTURA","VALLE DEL CAUCA",64
"SOLANO","CAQUETÁ",61
"MEDELLÍN","ANTIOQUIA",54
"FLORENCIA","CAQUETÁ",54
"FRONTINO","ANTIOQUIA",54
NULL,NULL,53
"QUIBDÓ","CHOCÓ",50
"PUERTO LÓPEZ","META",49
"CUMARIBO","VICHADA",48
"TARAPACÁ","AMAZONAS",47
"LA PEDRERA","AMAZONAS",45
"PUERTO LEGUÍZAMO","PUTUMAYO",44
"MIRITÍ - PARANÁ","AMAZONAS",40
"MITÚ","VAUPÉS",40
"UNGUÍA","CHOCÓ",39
"INÍRIDA","GUAINÍA",38
"BELÉN DE LOS ANDAQUÍES","CAQUETÁ",38
"MOCOA","PUTUMAYO",36
"EL CANTÓN DEL SAN PABLO","CHOCÓ",36
"ACANDÍ","CHOCÓ",36
"PUERTO ARICA","AMAZONAS",35
"PUERTO NARIÑO","AMAZONAS",34
"LA CHORRERA","AMAZONAS",34
"VIGÍA DEL FUERTE","ANTIOQUIA",34
"SAN LUIS","ANTIOQUIA",33
"URRAO","ANTIOQUIA",33
"BARBACOAS","NARIÑO",32
"MANIZALES","CALDAS",32
"TARAIRA","VAUPÉS",32
"TADÓ","CHOCÓ",32
"BAHÍA SOLANO","CHOCÓ",32
"CALI","VALLE DEL CAUCA",31
"SAN JOSÉ DEL GUAVIARE","GUAVIARE",30
"RIOSUCIO","CHOCÓ",30
"EL CARMEN DE ATRATO","CHOCÓ",30
"GUAPI","CAUCA",30
"CIMITARRA","SANTANDER",28
"SAN VICENTE DEL CAGUÁN","CAQUETÁ",28
"BARRANCOMINAS","GUAINÍA",28
"JURADÓ","CHOCÓ",27
"TURBO","ANTIOQUIA",27
"ANORÍ","ANTIOQUIA",27
"PACOA","VAUPÉS",27
"SAN CARLOS","ANTIOQUIA",26
"MUTATÁ","ANTIOQUIA",26
"EL LITORAL DEL SAN JUAN","CHOCÓ",25
"CALAMAR","GUAVIARE",25
"AMALFI","ANTIOQUIA",24
"LA MACARENA","META",24
"DAGUA","VALLE DEL CAUCA",23
"VILLAVICENCIO","META",23
"CONDOTO","CHOCÓ",22
"RÍO QUITO","CHOCÓ",22
"SIPÍ","CHOCÓ",22
"BAJO BAUDÓ","CHOCÓ",21
"PEREIRA","RISARALDA",21
"SANTA MARTA","MAGDALENA",21
"SAN ANDRÉS DE TUMACO","NARIÑO",21
"LA GUADALUPE","GUAINÍA",20
"PAPUNAHUA","VAUPÉS",20
